artist,genre,birthdate,deathdate,ageatdeath,birthdate1,birthdate2,birthdate3,deathdate1,deathdate2,deathdate3
Eazy-E,Gangsta rap,1964,1995,31,1964-09-07,1963-09-07,1964-09-07,1995-03-26,1995-03-26,1995-03-26
Ed Allen (musician),Jazz,1897,1974,77,1897-12-15,1897-12-15,1897-12-15,1974-01-28,1974-01-28,1974-01-28
Ed Blackwell,Jazz,1929,1992,63,1929-10-10,1929-10-10,1929-10-10,1992-10-07,1992-10-07,
Eddie Bo,Blues,1930,2009,79,1930-09-20,1930-09-20,1930-09-20,2009-03-18,2009-03-18,2009-03-18
Eddie Burks (blues musician),Blues,1931,2005,74,1931-09-17,1931-09-17,1931-09-17,2005-01-27,2005-01-27,
Eddie Cochran,Rock and roll,1938,1960,22,1938-10-03,1938-10-03,1938,1960-04-17,1960,1960-04-17
Eddie Costa,Bebop,1930,1962,32,1930-08-14,1930-08-14,1930-08-14,1962-07-28,1962-07-28,1962-07-28
Eddie Fisher (singer),Traditional pop music,1928,2010,82,1928-08-10,1928-08-10,1928-08-10,2010-09-22,2010-09-22,2010-09-22
Eddie Harris,Jazz fusion,1934,1996,62,1934-10-20,1934-10-20,1934-10-20,1996-11-05,1996-11-05,1996-11-05
Eddie Hazel,Soul music,1950,1992,42,1950-04-10,,1950-04-10,1992-12-23,1992-12-23,
Eddie Jefferson,Jazz,1918,1979,61,1918-08-03,1918-08-03,1918-08-03,1979-05-09,1979-05-09,1979-05-09
Eddie Kendricks,R&B,1939,1992,53,1939-12-17,1939-12-17,1939-12-17,1992-10-05,1992-10-05,
Eddie King (musician),Electric blues,1938,2012,74,1938-04-21,1938-04-21,1938-04-21,2012-03-13,,2012-03-13
Eddie Kirkland,Soul music,1923,2011,88,1923-08-16,1923-08-16,1923-08-16,2011-02-27,2011-02-27,2011-02-27
Eddie Lang,Jazz,1902,1933,31,1902-10-25,1902-10-25,1902-10-25,1933-03-26,1933-03-26,1933-03-26
Eddie Lockjaw Davis,Jazz,1922,1986,64,1922-03-02,1922-03-02,1922-03-02,1986-11-03,1986-11-03,1986-11-03
Eddie Lovette,Reggae,1943,1998,55,,1943,1943,1998-04-29,1998,1998-04-29
Eddie Peabody,Vaudeville,1902,1970,68,1902-02-19,1902-02-19,19,1970-11-07,7,1970-11-07
Eddie Rabbitt,Country (music),1941,1998,57,1941-11-27,1941-11-27,27,1998-05-07,7,1998-05-07
Eddie Shu,Jazz,1918,1986,68,1918-03-18,1918-03-18,1918,1986-07-04,1986,1986-07-04
Eddie Vinson,Jump blues,1917,1988,71,1917-12-18,1917-12-18,1917-12-18,1988-07-02,1988-07-02,1988-07-02
Eddy Arnold,Gospel music,1918,2008,90,1918-05-15,1918-05-15,,2008-05-08,,2008-05-08
